id,code,name,slug,unit,unit_cost,place,open,sales,received,transfer,waste,actual,actual_cost,daily_requirement,delivery,delivery_cost,delivery_time,fullstock,fullstock_days,stock_days,first_cost,last_cost
49,792320347,гарнир,garnir,шт.,86,store,0,16851,19227,0,0,2376,-631680,249.8572,0,0,5,1,6,10,76,86
11,792310139,фасоль красная,fasol_-krasnaa,кг,307,B-1-9,0,159.74,187,0,0,27,-22254.6,2.0286,0,0,5,3,8,13,274,307
32,792320094,грибная смесь,gribnaa-smes,кг,16,B-2-5,0,1025.84,1164,0,0,138,-6129.76,15.155,0,0,5,3,8,9,14,16
35,792340012,лук зеленый,luk-zelenyj,кг,233,B-2-8,0,491.7,555,0,0,63,-45914,7.1057,0,0,5,3,8,9,208,233
9,792310110,свекла консервиров,svekla-konservirov,кг,424,B-1-7,0,327.8,369,0,0,41,-53920,4.7371,0,0,5,4,9,9,378,424
16,792330015,масло сливочное,maslo-slivocnoe,кг,76,A-1-8,0,105.168,119,0,0,14,-2951.76,1.6398,0,0,5,4,9,8,67,76
26,792320201,котлета по-киевски,kotleta-po-kievski,шт.,54,A-2-8,0,8248,9283,0,0,1035,-171450,118.4286,0,0,5,4,9,9,48,54
45,899901012,сельдь с укропом2200,sel_d_-s-ukropom2200,кг,297,store,0,327.8,369,0,0,41,-37744,4.7371,0,0,5,4,9,9,265,297
7,792310086,паприка сладкая мол.,paprika-sladkaa-mol,кг,160,B-1-5,0,7.987,12,0,0,4,-598.05,0.1014,0,0,5,5,10,40,142,160
56,792310126,соус табаско,sous-tabasko,кг,276,store,0,7.987,12,0,0,4,-1036.62,0.1014,0,0,5,5,10,40,246,276
