id,product,code,sold,first_day,date,last_day
3714,говядина с картоф.,400331689,141,2022-07-18,2022-08-15,2022-08-19
3715,говядина с соусом,400331665,141,2022-07-18,2022-08-15,2022-08-19
3716,говядина сыр и барбе,400341947,141,2022-07-18,2022-08-15,2022-08-19
3717,жульен грибной,440359723,141,2022-07-18,2022-08-15,2022-08-19
3718,запеканка твор.готов,450338990,141,2022-07-18,2022-08-15,2022-08-19
3719,карт.жаркое с курице,999900632,141,2022-07-18,2022-08-15,2022-08-19
3720,котлета домашняя,430334436,141,2022-07-18,2022-08-15,2022-08-19
3721,котлета по-киевски,460351207,141,2022-07-18,2022-08-15,2022-08-19
3722,куп кур.медальоны,430343370,141,2022-07-18,2022-08-15,2022-08-19
3723,кур. с орех соусом2,420346213,141,2022-07-18,2022-08-15,2022-08-19
3724,салат с сельдью Люци,400344658,141,2022-07-18,2022-08-15,2022-08-19
3725,брокколи с сыром,420346232,56,2022-07-18,2022-08-12,2022-08-19
3726,буррито вегетар.,430343394,82,2022-07-18,2022-08-12,2022-08-19
3727,говядина по-бургундк,400356359,99,2022-07-18,2022-08-12,2022-08-19
3728,говядина с картоф.,400331689,99,2022-07-18,2022-08-12,2022-08-19
3729,говядина с соусом,400331665,99,2022-07-18,2022-08-12,2022-08-19
3730,говядина сыр и барбе,400341947,99,2022-07-18,2022-08-12,2022-08-19
3731,жульен грибной,440359723,99,2022-07-18,2022-08-12,2022-08-19
3732,запеканка твор.готов,450338990,99,2022-07-18,2022-08-12,2022-08-19
3733,карт.жаркое с курице,999900632,99,2022-07-18,2022-08-12,2022-08-19
3734,котлета домашняя,430334436,99,2022-07-18,2022-08-12,2022-08-19
3735,котлета по-киевски,460351207,99,2022-07-18,2022-08-12,2022-08-19
3736,куп кур.медальоны,430343370,99,2022-07-18,2022-08-12,2022-08-19
3737,кур. с орех соусом2,420346213,99,2022-07-18,2022-08-12,2022-08-19
3738,салат с сельдью Люци,400344658,99,2022-07-18,2022-08-12,2022-08-19
3739,брокколи с сыром,420346232,64,2022-07-18,2022-08-11,2022-08-19
3740,буррито вегетар.,430343394,90,2022-07-18,2022-08-11,2022-08-19
3741,говядина по-бургундк,400356359,107,2022-07-18,2022-08-11,2022-08-19
3742,говядина с картоф.,400331689,107,2022-07-18,2022-08-11,2022-08-19
3743,говядина с соусом,400331665,107,2022-07-18,2022-08-11,2022-08-19
3744,говядина сыр и барбе,400341947,107,2022-07-18,2022-08-11,2022-08-19
3745,жульен грибной,440359723,107,2022-07-18,2022-08-11,2022-08-19
3746,запеканка твор.готов,450338990,107,2022-07-18,2022-08-11,2022-08-19
3747,карт.жаркое с курице,999900632,107,2022-07-18,2022-08-11,2022-08-19
3748,котлета домашняя,430334436,107,2022-07-18,2022-08-11,2022-08-19
3749,котлета по-киевски,460351207,107,2022-07-18,2022-08-11,2022-08-19
3750,куп кур.медальоны,430343370,107,2022-07-18,2022-08-11,2022-08-19
3751,кур. с орех соусом2,420346213,107,2022-07-18,2022-08-11,2022-08-19
3752,салат с сельдью Люци,400344658,107,2022-07-18,2022-08-11,2022-08-19
3753,брокколи с сыром,420346232,114,2022-07-18,2022-08-10,2022-08-19
3754,буррито вегетар.,430343394,140,2022-07-18,2022-08-10,2022-08-19
3755,говядина по-бургундк,400356359,157,2022-07-18,2022-08-10,2022-08-19
3756,говядина с картоф.,400331689,157,2022-07-18,2022-08-10,2022-08-19
3757,говядина с соусом,400331665,157,2022-07-18,2022-08-10,2022-08-19
3758,говядина сыр и барбе,400341947,157,2022-07-18,2022-08-10,2022-08-19
3759,жульен грибной,440359723,157,2022-07-18,2022-08-10,2022-08-19
3760,запеканка твор.готов,450338990,157,2022-07-18,2022-08-10,2022-08-19
3761,карт.жаркое с курице,999900632,157,2022-07-18,2022-08-10,2022-08-19
3762,котлета домашняя,430334436,157,2022-07-18,2022-08-10,2022-08-19
3763,котлета по-киевски,460351207,157,2022-07-18,2022-08-10,2022-08-19
3764,куп кур.медальоны,430343370,157,2022-07-18,2022-08-10,2022-08-19
3765,кур. с орех соусом2,420346213,157,2022-07-18,2022-08-10,2022-08-19
3766,салат с сельдью Люци,400344658,157,2022-07-18,2022-08-10,2022-08-19
3767,брокколи с сыром,420346232,66,2022-07-18,2022-08-09,2022-08-19
3768,буррито вегетар.,430343394,92,2022-07-18,2022-08-09,2022-08-19
3769,говядина по-бургундк,400356359,109,2022-07-18,2022-08-09,2022-08-19
3770,говядина с картоф.,400331689,109,2022-07-18,2022-08-09,2022-08-19
3771,говядина с соусом,400331665,109,2022-07-18,2022-08-09,2022-08-19
3772,говядина сыр и барбе,400341947,109,2022-07-18,2022-08-09,2022-08-19
3773,жульен грибной,440359723,109,2022-07-18,2022-08-09,2022-08-19
3774,запеканка твор.готов,450338990,109,2022-07-18,2022-08-09,2022-08-19
3775,карт.жаркое с курице,999900632,109,2022-07-18,2022-08-09,2022-08-19
3776,котлета домашняя,430334436,109,2022-07-18,2022-08-09,2022-08-19
3777,котлета по-киевски,460351207,109,2022-07-18,2022-08-09,2022-08-19
3778,куп кур.медальоны,430343370,109,2022-07-18,2022-08-09,2022-08-19
3779,кур. с орех соусом2,420346213,109,2022-07-18,2022-08-09,2022-08-19
3780,салат с сельдью Люци,400344658,109,2022-07-18,2022-08-09,2022-08-19
3781,брокколи с сыром,420346232,60,2022-07-18,2022-08-08,2022-08-19
3782,буррито вегетар.,430343394,86,2022-07-18,2022-08-08,2022-08-19
3783,говядина по-бургундк,400356359,103,2022-07-18,2022-08-08,2022-08-19
3784,говядина с картоф.,400331689,103,2022-07-18,2022-08-08,2022-08-19
3785,говядина с соусом,400331665,103,2022-07-18,2022-08-08,2022-08-19
3786,говядина сыр и барбе,400341947,103,2022-07-18,2022-08-08,2022-08-19
3787,жульен грибной,440359723,103,2022-07-18,2022-08-08,2022-08-19
3788,запеканка твор.готов,450338990,103,2022-07-18,2022-08-08,2022-08-19
3789,карт.жаркое с курице,999900632,103,2022-07-18,2022-08-08,2022-08-19
3790,котлета домашняя,430334436,103,2022-07-18,2022-08-08,2022-08-19
3791,котлета по-киевски,460351207,103,2022-07-18,2022-08-08,2022-08-19
3792,куп кур.медальоны,430343370,103,2022-07-18,2022-08-08,2022-08-19
3793,кур. с орех соусом2,420346213,103,2022-07-18,2022-08-08,2022-08-19
3794,салат с сельдью Люци,400344658,103,2022-07-18,2022-08-08,2022-08-19
3795,брокколи с сыром,420346232,72,2022-07-18,2022-08-05,2022-08-19
3796,буррито вегетар.,430343394,98,2022-07-18,2022-08-05,2022-08-19
3797,говядина по-бургундк,400356359,115,2022-07-18,2022-08-05,2022-08-19
3798,говядина с картоф.,400331689,115,2022-07-18,2022-08-05,2022-08-19
3799,говядина с соусом,400331665,115,2022-07-18,2022-08-05,2022-08-19
3800,говядина сыр и барбе,400341947,115,2022-07-18,2022-08-05,2022-08-19
3801,жульен грибной,440359723,115,2022-07-18,2022-08-05,2022-08-19
3802,запеканка твор.готов,450338990,115,2022-07-18,2022-08-05,2022-08-19
3803,карт.жаркое с курице,999900632,115,2022-07-18,2022-08-05,2022-08-19
3804,котлета домашняя,430334436,115,2022-07-18,2022-08-05,2022-08-19
3805,котлета по-киевски,460351207,115,2022-07-18,2022-08-05,2022-08-19
3806,куп кур.медальоны,430343370,115,2022-07-18,2022-08-05,2022-08-19
3807,кур. с орех соусом2,420346213,115,2022-07-18,2022-08-05,2022-08-19
3808,салат с сельдью Люци,400344658,115,2022-07-18,2022-08-05,2022-08-19
3809,брокколи с сыром,420346232,68,2022-07-18,2022-08-04,2022-08-19
3810,буррито вегетар.,430343394,94,2022-07-18,2022-08-04,2022-08-19
3811,говядина по-бургундк,400356359,111,2022-07-18,2022-08-04,2022-08-19
3812,говядина с картоф.,400331689,111,2022-07-18,2022-08-04,2022-08-19
3813,говядина с соусом,400331665,111,2022-07-18,2022-08-04,2022-08-19
3814,говядина сыр и барбе,400341947,111,2022-07-18,2022-08-04,2022-08-19
3815,жульен грибной,440359723,111,2022-07-18,2022-08-04,2022-08-19
3816,запеканка твор.готов,450338990,111,2022-07-18,2022-08-04,2022-08-19
3817,карт.жаркое с курице,999900632,111,2022-07-18,2022-08-04,2022-08-19
3818,котлета домашняя,430334436,111,2022-07-18,2022-08-04,2022-08-19
3819,котлета по-киевски,460351207,111,2022-07-18,2022-08-04,2022-08-19
3820,куп кур.медальоны,430343370,111,2022-07-18,2022-08-04,2022-08-19
3821,кур. с орех соусом2,420346213,111,2022-07-18,2022-08-04,2022-08-19
3822,салат с сельдью Люци,400344658,111,2022-07-18,2022-08-04,2022-08-19
3823,брокколи с сыром,420346232,76,2022-07-18,2022-08-03,2022-08-19
3824,буррито вегетар.,430343394,102,2022-07-18,2022-08-03,2022-08-19
3825,говядина по-бургундк,400356359,119,2022-07-18,2022-08-03,2022-08-19
3826,говядина с картоф.,400331689,119,2022-07-18,2022-08-03,2022-08-19
3827,говядина с соусом,400331665,119,2022-07-18,2022-08-03,2022-08-19
3828,говядина сыр и барбе,400341947,119,2022-07-18,2022-08-03,2022-08-19
3829,жульен грибной,440359723,119,2022-07-18,2022-08-03,2022-08-19
3830,запеканка твор.готов,450338990,119,2022-07-18,2022-08-03,2022-08-19
3831,карт.жаркое с курице,999900632,119,2022-07-18,2022-08-03,2022-08-19
3832,котлета домашняя,430334436,119,2022-07-18,2022-08-03,2022-08-19
3833,котлета по-киевски,460351207,119,2022-07-18,2022-08-03,2022-08-19
3834,куп кур.медальоны,430343370,119,2022-07-18,2022-08-03,2022-08-19
3835,кур. с орех соусом2,420346213,119,2022-07-18,2022-08-03,2022-08-19
3836,салат с сельдью Люци,400344658,119,2022-07-18,2022-08-03,2022-08-19
3837,брокколи с сыром,420346232,98,2022-07-18,2022-08-02,2022-08-19
3838,буррито вегетар.,430343394,168,2022-07-18,2022-08-02,2022-08-19
3839,говядина по-бургундк,400356359,168,2022-07-18,2022-08-02,2022-08-19
3840,говядина с картоф.,400331689,168,2022-07-18,2022-08-02,2022-08-19
3841,говядина с соусом,400331665,168,2022-07-18,2022-08-02,2022-08-19
3842,говядина сыр и барбе,400341947,168,2022-07-18,2022-08-02,2022-08-19
3843,жульен грибной,440359723,168,2022-07-18,2022-08-02,2022-08-19
3844,запеканка твор.готов,450338990,168,2022-07-18,2022-08-02,2022-08-19
3845,карт.жаркое с курице,999900632,168,2022-07-18,2022-08-02,2022-08-19
3846,котлета домашняя,430334436,168,2022-07-18,2022-08-02,2022-08-19
3847,котлета по-киевски,460351207,168,2022-07-18,2022-08-02,2022-08-19
3848,куп кур.медальоны,430343370,168,2022-07-18,2022-08-02,2022-08-19
3849,кур. с орех соусом2,420346213,168,2022-07-18,2022-08-02,2022-08-19
3850,салат с сельдью Люци,400344658,168,2022-07-18,2022-08-02,2022-08-19
3851,брокколи с сыром,420346232,50,2022-07-18,2022-08-01,2022-08-19
3852,буррито вегетар.,430343394,120,2022-07-18,2022-08-01,2022-08-19
3853,говядина по-бургундк,400356359,120,2022-07-18,2022-08-01,2022-08-19
3854,говядина с картоф.,400331689,120,2022-07-18,2022-08-01,2022-08-19
3855,говядина с соусом,400331665,120,2022-07-18,2022-08-01,2022-08-19
3856,говядина сыр и барбе,400341947,120,2022-07-18,2022-08-01,2022-08-19
3857,жульен грибной,440359723,120,2022-07-18,2022-08-01,2022-08-19
3858,запеканка твор.готов,450338990,120,2022-07-18,2022-08-01,2022-08-19
3859,карт.жаркое с курице,999900632,120,2022-07-18,2022-08-01,2022-08-19
3860,котлета домашняя,430334436,120,2022-07-18,2022-08-01,2022-08-19
3861,котлета по-киевски,460351207,120,2022-07-18,2022-08-01,2022-08-19
3862,куп кур.медальоны,430343370,120,2022-07-18,2022-08-01,2022-08-19
3863,кур. с орех соусом2,420346213,120,2022-07-18,2022-08-01,2022-08-19
3864,салат с сельдью Люци,400344658,120,2022-07-18,2022-08-01,2022-08-19
3865,брокколи с сыром,420346232,49,2022-07-18,2022-07-29,2022-08-19
3866,буррито вегетар.,430343394,79,2022-07-18,2022-07-29,2022-08-19
3867,говядина по-бургундк,400356359,99,2022-07-18,2022-07-29,2022-08-19
3868,говядина с картоф.,400331689,99,2022-07-18,2022-07-29,2022-08-19
3869,говядина с соусом,400331665,99,2022-07-18,2022-07-29,2022-08-19
3870,говядина сыр и барбе,400341947,99,2022-07-18,2022-07-29,2022-08-19
3871,жульен грибной,440359723,99,2022-07-18,2022-07-29,2022-08-19
3872,запеканка твор.готов,450338990,99,2022-07-18,2022-07-29,2022-08-19
3873,карт.жаркое с курице,999900632,99,2022-07-18,2022-07-29,2022-08-19
3874,котлета домашняя,430334436,99,2022-07-18,2022-07-29,2022-08-19
3875,котлета по-киевски,460351207,99,2022-07-18,2022-07-29,2022-08-19
3876,куп кур.медальоны,430343370,99,2022-07-18,2022-07-29,2022-08-19
3877,кур. с орех соусом2,420346213,99,2022-07-18,2022-07-29,2022-08-19
3878,салат с сельдью Люци,400344658,99,2022-07-18,2022-07-29,2022-08-19
3879,брокколи с сыром,420346232,52,2022-07-18,2022-07-28,2022-08-19
3880,буррито вегетар.,430343394,82,2022-07-18,2022-07-28,2022-08-19
3881,говядина по-бургундк,400356359,102,2022-07-18,2022-07-28,2022-08-19
3882,говядина с картоф.,400331689,102,2022-07-18,2022-07-28,2022-08-19
3883,говядина с соусом,400331665,102,2022-07-18,2022-07-28,2022-08-19
3884,говядина сыр и барбе,400341947,102,2022-07-18,2022-07-28,2022-08-19
3885,жульен грибной,440359723,102,2022-07-18,2022-07-28,2022-08-19
3886,запеканка твор.готов,450338990,102,2022-07-18,2022-07-28,2022-08-19
3887,карт.жаркое с курице,999900632,102,2022-07-18,2022-07-28,2022-08-19
3888,котлета домашняя,430334436,102,2022-07-18,2022-07-28,2022-08-19
3889,котлета по-киевски,460351207,102,2022-07-18,2022-07-28,2022-08-19
3890,куп кур.медальоны,430343370,102,2022-07-18,2022-07-28,2022-08-19
3891,кур. с орех соусом2,420346213,102,2022-07-18,2022-07-28,2022-08-19
3892,салат с сельдью Люци,400344658,102,2022-07-18,2022-07-28,2022-08-19
3893,брокколи с сыром,420346232,48,2022-07-18,2022-07-27,2022-08-19
3894,буррито вегетар.,430343394,78,2022-07-18,2022-07-27,2022-08-19
3895,говядина по-бургундк,400356359,98,2022-07-18,2022-07-27,2022-08-19
3896,говядина с картоф.,400331689,98,2022-07-18,2022-07-27,2022-08-19
3897,говядина с соусом,400331665,98,2022-07-18,2022-07-27,2022-08-19
3898,говядина сыр и барбе,400341947,98,2022-07-18,2022-07-27,2022-08-19
3899,жульен грибной,440359723,98,2022-07-18,2022-07-27,2022-08-19
3900,запеканка твор.готов,450338990,98,2022-07-18,2022-07-27,2022-08-19
3901,карт.жаркое с курице,999900632,98,2022-07-18,2022-07-27,2022-08-19
3902,котлета домашняя,430334436,98,2022-07-18,2022-07-27,2022-08-19
3903,котлета по-киевски,460351207,98,2022-07-18,2022-07-27,2022-08-19
3904,куп кур.медальоны,430343370,98,2022-07-18,2022-07-27,2022-08-19
3905,кур. с орех соусом2,420346213,98,2022-07-18,2022-07-27,2022-08-19
3906,салат с сельдью Люци,400344658,98,2022-07-18,2022-07-27,2022-08-19
3907,брокколи с сыром,420346232,50,2022-07-18,2022-07-26,2022-08-19
3908,буррито вегетар.,430343394,80,2022-07-18,2022-07-26,2022-08-19
3909,говядина по-бургундк,400356359,100,2022-07-18,2022-07-26,2022-08-19
3910,говядина с картоф.,400331689,100,2022-07-18,2022-07-26,2022-08-19
3911,говядина с соусом,400331665,100,2022-07-18,2022-07-26,2022-08-19
3912,говядина сыр и барбе,400341947,100,2022-07-18,2022-07-26,2022-08-19
3913,жульен грибной,440359723,100,2022-07-18,2022-07-26,2022-08-19
3914,запеканка твор.готов,450338990,100,2022-07-18,2022-07-26,2022-08-19
3915,карт.жаркое с курице,999900632,100,2022-07-18,2022-07-26,2022-08-19
3916,котлета домашняя,430334436,100,2022-07-18,2022-07-26,2022-08-19
3917,котлета по-киевски,460351207,100,2022-07-18,2022-07-26,2022-08-19
3918,куп кур.медальоны,430343370,100,2022-07-18,2022-07-26,2022-08-19
3919,кур. с орех соусом2,420346213,100,2022-07-18,2022-07-26,2022-08-19
3920,салат с сельдью Люци,400344658,100,2022-07-18,2022-07-26,2022-08-19
3921,брокколи с сыром,420346232,53,2022-07-18,2022-07-25,2022-08-19
3922,буррито вегетар.,430343394,83,2022-07-18,2022-07-25,2022-08-19
3923,говядина по-бургундк,400356359,103,2022-07-18,2022-07-25,2022-08-19
3924,говядина с картоф.,400331689,103,2022-07-18,2022-07-25,2022-08-19
3925,говядина с соусом,400331665,103,2022-07-18,2022-07-25,2022-08-19
3926,говядина сыр и барбе,400341947,103,2022-07-18,2022-07-25,2022-08-19
3927,жульен грибной,440359723,103,2022-07-18,2022-07-25,2022-08-19
3928,запеканка твор.готов,450338990,103,2022-07-18,2022-07-25,2022-08-19
3929,карт.жаркое с курице,999900632,103,2022-07-18,2022-07-25,2022-08-19
3930,котлета домашняя,430334436,103,2022-07-18,2022-07-25,2022-08-19
3931,котлета по-киевски,460351207,103,2022-07-18,2022-07-25,2022-08-19
3932,куп кур.медальоны,430343370,103,2022-07-18,2022-07-25,2022-08-19
3933,кур. с орех соусом2,420346213,103,2022-07-18,2022-07-25,2022-08-19
3934,салат с сельдью Люци,400344658,103,2022-07-18,2022-07-25,2022-08-19
3935,брокколи с сыром,420346232,50,2022-07-18,2022-07-22,2022-08-19
3936,буррито вегетар.,430343394,80,2022-07-18,2022-07-22,2022-08-19
3937,говядина по-бургундк,400356359,100,2022-07-18,2022-07-22,2022-08-19
3938,говядина с картоф.,400331689,100,2022-07-18,2022-07-22,2022-08-19
3939,говядина с соусом,400331665,100,2022-07-18,2022-07-22,2022-08-19
3940,говядина сыр и барбе,400341947,100,2022-07-18,2022-07-22,2022-08-19
3941,жульен грибной,440359723,100,2022-07-18,2022-07-22,2022-08-19
3942,запеканка твор.готов,450338990,100,2022-07-18,2022-07-22,2022-08-19
3943,карт.жаркое с курице,999900632,100,2022-07-18,2022-07-22,2022-08-19
3944,котлета домашняя,430334436,100,2022-07-18,2022-07-22,2022-08-19
3945,котлета по-киевски,460351207,100,2022-07-18,2022-07-22,2022-08-19
3946,куп кур.медальоны,430343370,100,2022-07-18,2022-07-22,2022-08-19
3947,кур. с орех соусом2,420346213,100,2022-07-18,2022-07-22,2022-08-19
3948,салат с сельдью Люци,400344658,100,2022-07-18,2022-07-22,2022-08-19
3949,брокколи с сыром,420346232,53,2022-07-18,2022-07-21,2022-08-19
3950,буррито вегетар.,430343394,83,2022-07-18,2022-07-21,2022-08-19
3951,говядина по-бургундк,400356359,103,2022-07-18,2022-07-21,2022-08-19
3952,говядина с картоф.,400331689,103,2022-07-18,2022-07-21,2022-08-19
3953,говядина с соусом,400331665,103,2022-07-18,2022-07-21,2022-08-19
3954,говядина сыр и барбе,400341947,103,2022-07-18,2022-07-21,2022-08-19
3955,жульен грибной,440359723,103,2022-07-18,2022-07-21,2022-08-19
3956,запеканка твор.готов,450338990,103,2022-07-18,2022-07-21,2022-08-19
3957,карт.жаркое с курице,999900632,103,2022-07-18,2022-07-21,2022-08-19
3958,котлета домашняя,430334436,103,2022-07-18,2022-07-21,2022-08-19
3959,котлета по-киевски,460351207,103,2022-07-18,2022-07-21,2022-08-19
3960,куп кур.медальоны,430343370,103,2022-07-18,2022-07-21,2022-08-19
3961,кур. с орех соусом2,420346213,103,2022-07-18,2022-07-21,2022-08-19
3962,салат с сельдью Люци,400344658,103,2022-07-18,2022-07-21,2022-08-19
3963,брокколи с сыром,420346232,49,2022-07-18,2022-07-20,2022-08-19
3964,буррито вегетар.,430343394,79,2022-07-18,2022-07-20,2022-08-19
3965,говядина по-бургундк,400356359,99,2022-07-18,2022-07-20,2022-08-19
3966,говядина с картоф.,400331689,99,2022-07-18,2022-07-20,2022-08-19
3967,говядина с соусом,400331665,99,2022-07-18,2022-07-20,2022-08-19
3968,говядина сыр и барбе,400341947,99,2022-07-18,2022-07-20,2022-08-19
3969,жульен грибной,440359723,99,2022-07-18,2022-07-20,2022-08-19
3970,запеканка твор.готов,450338990,99,2022-07-18,2022-07-20,2022-08-19
3971,карт.жаркое с курице,999900632,99,2022-07-18,2022-07-20,2022-08-19
3972,котлета домашняя,430334436,99,2022-07-18,2022-07-20,2022-08-19
3973,котлета по-киевски,460351207,99,2022-07-18,2022-07-20,2022-08-19
3974,куп кур.медальоны,430343370,99,2022-07-18,2022-07-20,2022-08-19
3975,кур. с орех соусом2,420346213,99,2022-07-18,2022-07-20,2022-08-19
3976,салат с сельдью Люци,400344658,99,2022-07-18,2022-07-20,2022-08-19
3977,брокколи с сыром,420346232,51,2022-07-18,2022-07-19,2022-08-19
3978,буррито вегетар.,430343394,81,2022-07-18,2022-07-19,2022-08-19
3979,говядина по-бургундк,400356359,101,2022-07-18,2022-07-19,2022-08-19
3980,говядина с картоф.,400331689,101,2022-07-18,2022-07-19,2022-08-19
3981,говядина с соусом,400331665,101,2022-07-18,2022-07-19,2022-08-19
3982,говядина сыр и барбе,400341947,101,2022-07-18,2022-07-19,2022-08-19
3983,жульен грибной,440359723,101,2022-07-18,2022-07-19,2022-08-19
3984,запеканка твор.готов,450338990,101,2022-07-18,2022-07-19,2022-08-19
3985,карт.жаркое с курице,999900632,101,2022-07-18,2022-07-19,2022-08-19
3986,котлета домашняя,430334436,101,2022-07-18,2022-07-19,2022-08-19
3987,котлета по-киевски,460351207,101,2022-07-18,2022-07-19,2022-08-19
3988,куп кур.медальоны,430343370,101,2022-07-18,2022-07-19,2022-08-19
3989,кур. с орех соусом2,420346213,101,2022-07-18,2022-07-19,2022-08-19
3990,салат с сельдью Люци,400344658,101,2022-07-18,2022-07-19,2022-08-19
3991,брокколи с сыром,420346232,54,2022-07-18,2022-07-18,2022-08-19
3992,буррито вегетар.,430343394,84,2022-07-18,2022-07-18,2022-08-19
3993,говядина по-бургундк,400356359,104,2022-07-18,2022-07-18,2022-08-19
3994,говядина с картоф.,400331689,104,2022-07-18,2022-07-18,2022-08-19
3995,говядина с соусом,400331665,104,2022-07-18,2022-07-18,2022-08-19
3996,говядина сыр и барбе,400341947,104,2022-07-18,2022-07-18,2022-08-19
3997,жульен грибной,440359723,104,2022-07-18,2022-07-18,2022-08-19
3998,запеканка твор.готов,450338990,104,2022-07-18,2022-07-18,2022-08-19
3999,карт.жаркое с курице,999900632,104,2022-07-18,2022-07-18,2022-08-19
4000,котлета домашняя,430334436,104,2022-07-18,2022-07-18,2022-08-19
4001,котлета по-киевски,460351207,104,2022-07-18,2022-07-18,2022-08-19
4002,куп кур.медальоны,430343370,104,2022-07-18,2022-07-18,2022-08-19
4003,кур. с орех соусом2,420346213,104,2022-07-18,2022-07-18,2022-08-19
4004,салат с сельдью Люци,400344658,104,2022-07-18,2022-07-18,2022-08-19
